oxford,1
london,27
big ben,4
england,20
ireland,12
london bridge,1
the castle of edinburgh,1
calton hill,2
stirling castle,1
jubilee gardens,1
elephant and castle,1
cheshire,3
lincolnshire,1
loch goil,1
trafalgar square,5
river thames,5
great britain,2
scotland,21
britain,1
salford,2
elizabeth tower,1
manchester,9
northern ireland,5
nelson column,1
waterloo bridge,1
armagh,1
essex,4
emirates stadium,1
the republic of ireland,1
oxfordshire,1
york,1
dublin,5
guinness brewery,1
edinburgh,5
piccadilly gardens,1
liverpool,9
abercromby square,1
wharfside way,1
st. anthony the great,1
anfield,1
south yorkshire,1
central park,1
bristol,1
old trafford stadium,1
burnley,1
herefordshire,1
the university of westminster,1
the isle of wight,1
greater manchester,2
st. patrick,1
a modern art museum,1
thames,4
coleraine,1
belfast,2
the queensway bridge,1
grafton street,1
berkshire,1
wellesbourne village,1
northampton,1
cardiff,1
somerset,1
westmorland,1
glasgow,5
merseyside,2
buckinghamshire,1
wembley,1
a national park,1
st. peter square,1
suffolk,1
durham,1
river shannon,1
cavan,1
the university of liverpool,1
baker street,1
wales,3
st. david,1
the united kingdom,3
everton fc,1
alnwick castle,1
stonehenge,2
mercure hotel,1
hampshire,1
chesire,1
tower bridge,1
islington,1
the city of london,1
river exe,2
donegal,1
kensington palace,1
the british museum,1
king william street,1
the tower of london,1
prince street,1
hammersmith,2
hammersmith bridge,1
barnes,1
loch ness,1
the solway firth,1
saint george,2
charlotte square,1
dorset,1
