utrecht,25
the happy valley,4
happy valley,11
amsterdam,13
fort worth,11
oleander,22
spain,11
netherlands,9
270 fleet,1
europe,2
alps,1
zdarske vrchy,2
the united kingdom,1
a28 motorway,1
us,12
ina boudier - bakkerlaan 1 3483va utrecht,1
salford,1
england,2
the united states,2
oleander city,1
west nile,1
groningen,1
tarrant county,3
texas,6
dallas,4
west nile virus,1
washington d.c.,1
ghent,3
the metro vancouver,8
canada,18
addis ababa,2
rotterdam,3
pennsylvania,3
guangdong province,1
south china,4
guangdong,3
karbala,1
tuscany,1
indonesia,5
indopop,1
china,16
yogyakarta,4
salvador,2
brazil,2
iran,1
saskatchewan,1
alberta,1
beijing,2
east baton rouge parish,1
istanbul,1
marmara sea,1
san francisco,2
melbourne,1
australia,1
the wen - rui tang river,1
jiangsu province,2
vancouver,3
shenyang,1
istanbul metropolitan municipality,1
seoul,1
south korea,4
levy,1
lafayette,1
suwannee,1
extremadura,1
dabat,1
ethiopia,1
atocha,1
madrid,1
glasgow,1
liverpool,1
manchester,1
britain,3
the aichi prefecture,1
japan,4
nova scotia,6
halifax regional municipality,5
wuhan city,1
foothills medical center,1
calgary,1
metro vancouver,2
buffalo,1
shenzhen city,1
savannah,1
ghana,1
york county,1
beresford,1
new brunswick,1
hamilton,1
richmond metro,1
chattanooga - hamilton county,1
south,1
shanghai,13
denmark,1
mozambique,2
chibuto,3
chokwã¨,3
guã­jã,3
mandlakaze,3
kos island,1
greece,1
kefalos,3
kaohsiung,2
taiwan,1
houston,5
the tampa bay,2
the tampa bay region,2
florida,4
tampa bay region,2
finland,1
hubei province,3
new jersey,1
stockholm,3
sweden,3
fujian province,1
phoenix,1
auckland,2
new zealand,1
kenya,1
leeds,3
nanjing,1
los angeles,1
new york city,1
islamabad,4
islamabad zone iv,2
pakistan,2
the tarim river,1
delhi,2
the western usa,1
seattle,2
detroit,2
the detroit metropolitan area,1
utrecht city,1
riverside,4
san bernardino,4
ca,4
riverside - san bernardino,1
