houses,10
road,15
school,4
supermarket,1
urban areas,2
neighborhoods,7
parks,3
hotels,4
resort,16
shops,1
cafes,1
forested areas,1
pistes,2
piste,9
hotel,2
neighborhood,16
locations,8
fire stations,2
buildings,9
station,11
schools,5
location,7
areas,39
river,3
area,37
park,2
freeways,3
cities,2
site,2
conservation areas,1
zones,4
yards,1
landfill,2
factories,1
town,2
railway,2
parcels,3
landscape conservation zones,2
settlements,3
stations,4
accommodation,1
beach,1
land,33
highway,1
superstores,1
home,1
office,2
gym,1
shop,1
farm,2
region,12
store,2
privately owned land,1
commercially zoned land,1
forestry land,1
roads,4
forest,3
ski lift stations,1
ski pistes,1
facilities,3
coastlines,1
counties,3
place,4
bank,2
library,1
libraries,1
places,2
department,2
water wells,1
streets,3
stores,2
intersections,2
city,6
district,7
precinct,3
state,1
block,2
city blocks,1
spots,1
inlets,1
floodplain,4
creeks,1
zone,2
playgrounds,1
arcades,1
hospital,1
lakeshore,1
street,3
runway,1
airport,1
factory,2
delta,1
lake,1
primary schools,3
residential sites,3
community,1
grassland,1
paddy fields,1
sites,3
metro stations,1
businesses,2
residential communities,1
suburbs,2
hospitals,2
health facilities,2
irrigated areas,1
central cities,1
suburban areas,1
municipality,1
sidewalk,1
residences,2
communities,1
business establishments,1
housing,3
elementary school,1
magnet schools,1
public neighborhood schools,1
countries,1
forest areas,1
rural landscapes,1
health service units,1
towns,1
district centers,1
districts,5
clinics,1
nonprofit organizations,1
municipalities,2
settlement,2
rural areas,1
museums,1
highways,1
urban sprawl,1
ethnoburbs,1
regions,1
states,1
enterprises,1
windmill,1
residential units,1
health care facilities,1
