houses,10
hotels,3
shops,1
cafes,1
hotel,1
neighborhood,6
locations,5
buildings,7
schools,1
station,1
areas,29
park,1
freeways,2
cities,1
site,2
landscape conservation zones,2
home,1
land,11
area,6
store,1
roads,1
pistes,1
facilities,2
location,2
place,4
bank,1
places,1
stations,1
intersections,1
parks,1
spots,1
parcels,2
zones,1
zone,1
city,1
river,1
delta,1
settlements,2
primary schools,1
forest,1
grassland,1
sites,2
businesses,1
irrigated areas,1
road,1
district,2
countries,1
clinics,1
settlement,1
urban sprawl,1
ethnoburbs,1
enterprises,1
neighborhoods,1
