id;source;title;year;question;code
1;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the houses for sale in Utrecht;1torn
2;Competency questions;IAOA Summer Institute on Places and Things;2011;Where are the houses for sale and built between 1990 and 2000 in Utrecht;1toarn
3;Competency questions;IAOA Summer Institute on Places and Things;2011;What houses are for sale and within 500m from a main road in Utrecht;2toonrn
4;Competency questions;IAOA Summer Institute on Places and Things;2011;What houses are for sale and within 1km from the nearest school in Utrecht;2tooorn
5;Competency questions;IAOA Summer Institute on Places and Things;2011;What houses are for sale and within 1km from the nearest supermarket in Utrecht;2toornrn
6;Competency questions;IAOA Summer Institute on Places and Things;2011;What houses are for sale in urban areas in Utrecht;2torqtrn
7;Competency questions;IAOA Summer Institute on Places and Things;2011;What houses are for sale in neighborhoods with low crime rates in Utrecht;2tortoorn
8;Competency questions;IAOA Summer Institute on Places and Things;2012;What houses are for sale and near to parks in Utrecht;2torrtrn
9;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the 5-star hotels in the Happy Valley ski resort;1qtrntt
10;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the shops that open at 18:00 in Happy Valley ski resort;1trntt
11;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the cafes in forested areas in Happy Valley ski resort;1trqtrntt
12;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the ski pistes in Happy Valley ski resort;1ttrntt
13;Competency questions;IAOA Summer Institute on Places and Things;2019;Where is the most popular ski piste in Happy Valley ski resort;1qtnrntt
14;Competency questions;IAOA Summer Institute on Places and Things;2019;Where is the longest ski piste in Happy Valley ski resort;1qtnrntt
15;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the longest ski piste’s start and end positions in Happy Valley ski resort;1qtoooorntt
16;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the hotel within 300 m from the longest ski piste in Happy Valley ski resort;1torqtnrntt
17;Competency questions;IAOA Summer Institute on Places and Things;2019;where is the neighborhood that has the highest crime rate in Amsterdam;1taoorn
18;Competency questions;IAOA Summer Institute on Places and Things;2019;What are the locations of individual crimes in Amsterdam;2torn
19;Competency questions;IAOA Summer Institute on Places and Things;2020;where is the neighborhood that has the highest robbery rate in Amsterdam;1taoorn
20;Competency questions;IAOA Summer Institute on Places and Things;2021;where is the neighborhood that has the highest arson rate in Amsterdam;1tanorn
21;Competency questions;IAOA Summer Institute on Places and Things;2022;where is the neighborhood that has the highest burglary rate in Amsterdam;1taoorn
22;Competency questions;IAOA Summer Institute on Places and Things;2019;For a neighborhood, how did the crime rate change from last year to this year in Amsterdam;o5ooooorn
23;Competency questions;IAOA Summer Institute on Places and Things;2019;What are the locations of fire stations in Fort Worth ;2trotn
24;Competency questions;IAOA Summer Institute on Places and Things;2019;What buildings are within 1 minute of driving time from a fire station in Fort Worth ;2toaonn
25;Competency questions;IAOA Summer Institute on Places and Things;2019;What buildings are within 2 minutes but not within 1 minute of driving time from a fire station in Fort Worth ;2tooaonn
26;Competency questions;IAOA Summer Institute on Places and Things;2019;What schools are not within 3 minutes of driving time from a fire station in Fort Worth;2ooaonn
27;Competency questions;IAOA Summer Institute on Places and Things;2019;Which fire station is nearest to an incident call at a given location in Fort Worth;3nooratn
28;Competency questions;IAOA Summer Institute on Places and Things;2019;Where did the hurricane form in Oleander;1oarn
29;Competency questions;IAOA Summer Institute on Places and Things;2019;Where did the hurricane dissipate in Oleander;1oarn
30;Competency questions;IAOA Summer Institute on Places and Things;2020;What was the trajectory of a hurricane in Oleander;2oorn
31;Competency questions;IAOA Summer Institute on Places and Things;2019;Where was the most intense hurricane in Oleander;1orn
32;Competency questions;IAOA Summer Institute on Places and Things;2019;Where was the fastest hurricane in Oleander;1orn
33;Competency questions;IAOA Summer Institute on Places and Things;2019;How many buildings are affected by a hurricane in Oleander;5qtsorn
34;Competency questions;IAOA Summer Institute on Places and Things;2019;What types of buildings are mostly affected by a hurricane in Oleander;2ortaorn
35;Competency questions;IAOA Summer Institute on Places and Things;2019;How many people were affected by a hurricane in Oleander;5oasorn
36;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the rocky areas in Spain;1qto
37;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas do have slope larger than 10% in Spain;2taoo
38;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas do have altitudes between 700 and 2000 meters in Spain;2taooo
39;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas do have an annual minimum temperature greater than 0 degrees in Spain;2taooo
40;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas do have low precipitation and humidity in Spain;2taooo
41;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas areat least 3km away from the river in Spain;2tsrto
42;Competency questions;IAOA Summer Institute on Places and Things;2019;What areas are far away from the road network in Spain;2tntoo
43;Competency questions;IAOA Summer Institute on Places and Things;2019;Where is the distribution area of little midwife toad in Spain;1otooo
44;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the industrial areas in Utrecht;1qtrn
45;Competency questions;IAOA Summer Institute on Places and Things;2019;Where is the biggest park in Utrecht;1qtrn
46;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are freeways with 4 lanes in Netherlands;1oorn
47;Competency questions;IAOA Summer Institute on Places and Things;2019;Where are the freeways with traffic jams during rush hours in Netherlands;1ooooorn
48;Competency questions;IAOA Summer Institute on Places and Things;2019;Which cities do have highest crime rate in Netherlands;3taoorn
49;Competency questions;IAOA Summer Institute on Places and Things;2019;Which neighborhood has the highest population density in Netherlands;3taoorn
50;Competency questions;IAOA Summer Institute on Places and Things;2011;Where is a suitable site for the disposal of radioactive waste in UK;1qtooo
51;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas do have suitable geology for nuclear waste in UK;2taooo
52;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas do not have groundwater and natural resources beneath in UK;2taooo
53;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas do have low population density in UK;2taooo
54;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas do have a population density of 300 persons per square kilometer or less in UK;2taoootoo
55;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas are accessible in UK;2to
56;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas are minimum 3km and maximum 5km away from the nearest road in UK;2torqto
57;Competency questions;IAOA Summer Institute on Places and Things;2011;What areas are not within conservation areas in UK;2troto
58;GIS textbook;Beyond maps: GIS and decision making in local government;2000;Where are houses that have no plumbing;1tao
59;GIS textbook;Beyond maps: GIS and decision making in local government;2000;What is the condition of the water treatment plant at 270 Fleet;2ono
60;GIS textbook;Beyond maps: GIS and decision making in local government;2000;Which is the best way to send the recycling truck, given these pickup points;3oaaoaot
61;GIS textbook;Beyond maps: GIS and decision making in local government;2000;Which emergency vehicle is closest to the accident;3ooo
62;GIS textbook;Beyond maps: GIS and decision making in local government;2000;What is the pattern of public spending in areas where the majority of residents are African American;2nort1oooo
63;GIS textbook;Beyond maps: GIS and decision making in local government;2000;Do more commercial buildings in earth-quake zones meet quake proofing specification than five years ago;qtrqtaoaoo
64;GIS textbook;Beyond maps: GIS and decision making in local government;2000;At this rate, how long will it be before 99 percent of all commercial buildings meet specifications in the Netherlands;o5orqtaorn
65;GIS textbook;Beyond maps: GIS and decision making in local government;2000;What would be the economic impact if development were restricted within 100 yards of the river;2ooaartrt
66;GIS textbook;Beyond maps: GIS and decision making in local government;2000;What is the best site for the new landfill;2to
67;GIS textbook;Cartography: visualization of spatial data (3rd edt);2013;What is the relationship between the local microclimate, local factories, and the social structure of surrounding neighborhoods;2otqtoorat
68;GIS textbook;Cartography: visualization of spatial data (3rd edt);2013;What will be the need to adapt to the local public transport network and its capacity when a new neighborhood is built north of the town;2oatooo4qtart
69;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where are areas of forestry in Europe in which Norwegian Spruce trees can be found;1torn3onoa
70;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where do high concentrations of students live in Utrecht;1ooarn
71;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where have glaciers retreated in the European Alps;1aoaron
72;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where have changes to the population of polar bears occurred;1aooo
73;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where are there over 10,000 potential customers within a 5-mile radius of a railway station;1oortt
74;GIS textbook;An introduction to geographical information systems (4th edt);2011;If we build a new theme park here, what will be the effect on traffic flows;ano2ooo
75;GIS textbook;An introduction to geographical information systems (4th edt);2011;What would be the time saving if we delivered our parcels using this route, rather than an alternative;2oaaoaoo
76;GIS textbook;An introduction to geographical information systems (4th edt);2011;What will be the long-term consequences of farming and forestry for the conservation area in Zdarske Vrchy;2ooorotrn
77;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where should landscape conservation zones be established in Zdarske Vrchy;1ootarn
78;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where are stone age settlements located in Europe;1ootrn
79;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where are all the fire stations in Utrecht;1otrn
80;GIS textbook;An introduction to geographical information systems (4th edt);2011;Where can I find holiday accommodation that is within 1 km of a wind surfing beach and accessible by public transport in Italy;1aoooonorn
