pattern,k,frequency,expected occurrences,percentage
t,1,26066,0.45959622674777395,43.358899761967734
o,1,41098,0.7246407475976373,48.689059331746456
n,1,57626,1.0160627699903024,69.4243145552323
1,1,30366,0.5354139116635811,53.4779158952658
o1,2,195,0.003438243850833113,0.34382438508331126
1n,2,10981,0.19361720885127393,19.354668077228247
no,2,8372,0.14761526932910166,14.615181169002907
o1n,3,27,0.00047606453319227717,0.047606453319227714
1no,3,1443,0.025443004496165034,2.5443004496165034
q,1,2566,0.04524376267301419,4.4961650357048395
qt,2,2440,0.04302212818478357,4.274001586881777
tt,2,696,0.012271885744512033,1.1707661112580445
to,2,4342,0.07655822974521731,7.583531693555496
2,1,19473,0.343348320550119,34.283699197743104
n2,2,826,0.014564048311734109,1.4564048311734108
2t,2,15403,0.2715860001763202,27.155073613682447
oo,2,11191,0.19731993299832495,14.909635898792207
on,2,3496,0.06164154103852596,6.0865732169620035
ono,3,684,0.012060301507537688,1.1972141408798378
non,3,358,0.0063122630697346385,0.624173499074319
nq,2,154,0.002715331041170766,0.2715331041170766
r,1,4871,0.08588556819183638,8.473948690822533
ot,2,2402,0.042352111434364806,4.184078286167681
tr,2,1519,0.026783037997002556,2.6747773957506835
rn,2,4870,0.08586793617208852,8.472185488847748
otr,3,197,0.0034735078903288374,0.34735078903288374
trn,3,1486,0.026201181345323107,2.616591730582738
nn,2,15627,0.2755355725998413,26.820065238473067
or,2,1625,0.02865203209027594,2.8616768050780217
oor,3,354,0.006241734990743189,0.624173499074319
orn,3,1548,0.02729436656969056,2.7259102530194834
rnn,3,1052,0.01854888477475095,1.8531252755003087
oorn,4,323,0.005695142378559464,0.5695142378559465
ornn,4,349,0.006153574892003879,0.6153574892003879
ooo,3,2601,0.04586088336418937,3.6498280878074585
ooor,4,71,0.0012518734020982103,0.12518734020982103
tn,2,14201,0.2503923124393899,24.961650357048402
otn,3,516,0.009098122189896852,0.9098122189896852
tnn,3,7747,0.1365952569866878,13.659525698668782
tno,3,1596,0.02814070351758794,2.814070351758794
oto,3,404,0.007123335978136296,0.7088071938640571
ton,3,502,0.008851273913426784,0.8851273913426784
nn2,3,358,0.0063122630697346385,0.6312263069734638
n2t,3,449,0.007916776866790091,0.7916776866790092
oq,2,204,0.003596932028563872,0.3596932028563872
oqt,3,177,0.0031208674953715947,0.3120867495371595
qto,3,545,0.009609450762584855,0.9609450762584855
tor,3,147,0.002591906902935731,0.2591906902935731
oqto,4,32,0.0005642246319315878,0.05642246319315878
qtor,4,23,0.0004055364542008287,0.04055364542008287
torn,4,137,0.00241558670545711,0.241558670545711
nt,2,1623,0.028616768050780218,2.8475711892797317
nnt,3,110,0.001939522172264833,0.1939522172264833
nto,3,265,0.004672485233183461,0.4672485233183461
too,3,1103,0.019448117781891917,1.9448117781891916
nnto,4,12,0.0002115842369743454,0.02115842369743454
ntoo,4,39,0.0006876487701666225,0.06876487701666226
tooo,4,258,0.004549061094948426,0.4549061094948426
s,1,1742,0.03071497840077581,3.06268183020365
os,2,593,0.010455787710482235,1.0438155690734374
s1,2,8,0.00014105615798289695,0.014105615798289695
2to,3,916,0.0161509300890417,1.6150930089041697
2tr,3,478,0.008428105439478093,0.8428105439478093
n2tr,4,19,0.00033500837520938025,0.03350083752093803
2trn,4,333,0.005871462576038085,0.5871462576038086
