pattern,k,frequency,expected occurrences,percentage
2,1,867,0.33091603053435115,31.984732824427482
t,1,2268,0.8656488549618321,64.80916030534351
n,1,3092,1.1801526717557251,72.29007633587786
r,1,760,0.2900763358778626,26.984732824427482
s,1,377,0.14389312977099236,14.198473282442748
2t,2,328,0.1251908396946565,12.442748091603054
tn,2,389,0.1484732824427481,14.351145038167939
nr,2,150,0.05725190839694656,5.343511450381679
rn,2,759,0.28969465648854964,26.946564885496183
nn,2,625,0.2385496183206107,19.80916030534351
ns,2,57,0.021755725190839695,2.1755725190839694
2tn,3,86,0.03282442748091603,3.2442748091603053
tnr,3,23,0.008778625954198474,0.8778625954198473
nrn,3,149,0.05687022900763359,5.305343511450382
rnn,3,197,0.0751908396946565,7.480916030534352
nns,3,10,0.003816793893129771,0.38167938931297707
2tnr,4,9,0.003435114503816794,0.3435114503816794
tnrn,4,22,0.008396946564885497,0.8396946564885497
nrnn,4,43,0.016412213740458016,1.6412213740458017
rnns,4,2,0.0007633587786259542,0.07633587786259542
o,1,4140,1.5801526717557253,78.93129770992367
2o,2,287,0.10954198473282442,10.839694656488549
on,2,558,0.2129770992366412,20.114503816793892
no,2,771,0.29427480916030535,27.36641221374046
ot,2,451,0.17213740458015267,16.37404580152672
2on,3,49,0.01870229007633588,1.870229007633588
onn,3,94,0.03587786259541985,3.549618320610687
nno,3,132,0.050381679389312976,5.0
not,3,85,0.03244274809160305,3.2442748091603053
2onn,4,8,0.0030534351145038168,0.3053435114503817
onno,4,22,0.008396946564885497,0.8396946564885497
nnot,4,14,0.0053435114503816794,0.5343511450381679
3,1,371,0.1416030534351145,13.816793893129772
3o,2,118,0.0450381679389313,4.465648854961832
tr,2,211,0.08053435114503817,8.015267175572518
3ot,3,24,0.00916030534351145,0.9160305343511451
otr,3,41,0.015648854961832062,1.5648854961832062
trn,3,210,0.08015267175572519,7.977099236641222
rno,3,151,0.057633587786259544,5.7251908396946565
3otr,4,2,0.0007633587786259542,0.07633587786259542
otrn,4,40,0.015267175572519083,1.5267175572519083
trno,4,46,0.017557251908396947,1.7557251908396947
