pattern,k,frequency,expected occurrences,percentage
1,1,83,0.20293398533007334,20.293398533007334
t,1,453,1.1075794621026895,72.6161369193154
o,1,1272,3.1100244498777507,94.62102689486552
r,1,545,1.332518337408313,81.17359413202934
n,1,403,0.9853300733496333,71.14914425427872
1t,2,26,0.06356968215158924,6.356968215158925
to,2,111,0.2713936430317848,25.67237163814181
or,2,322,0.7872860635696821,63.08068459657702
rn,2,291,0.7114914425427873,66.99266503667481
1to,3,5,0.012224938875305624,1.2224938875305624
tor,3,31,0.07579462102689487,7.579462102689487
orn,3,155,0.37897310513447435,37.40831295843521
1tor,4,2,0.004889975550122249,0.4889975550122249
torn,4,18,0.044009779951100246,4.400977995110025
a,1,71,0.17359413202933985,15.892420537897312
d,1,35,0.08557457212713937,8.312958435207824
oa,2,36,0.08801955990220049,8.312958435207824
ad,2,2,0.004889975550122249,0.4889975550122249
dr,2,6,0.014669926650366748,1.466992665036675
toa,3,3,0.007334963325183374,0.7334963325183375
oad,3,2,0.004889975550122249,0.4889975550122249
adr,3,1,0.0024449877750611247,0.24449877750611246
drn,3,3,0.007334963325183374,0.7334963325183375
1toa,4,1,0.0024449877750611247,0.24449877750611246
toad,4,2,0.004889975550122249,0.4889975550122249
oadr,4,1,0.0024449877750611247,0.24449877750611246
adrn,4,1,0.0024449877750611247,0.24449877750611246
2,1,221,0.5403422982885085,54.034229828850854
q,1,119,0.29095354523227385,22.493887530562347
2t,2,41,0.10024449877750612,10.024449877750612
rr,2,11,0.02689486552567237,2.689486552567237
rq,2,35,0.08557457212713937,8.312958435207824
qt,2,70,0.17114914425427874,15.892420537897312
tr,2,157,0.38386308068459657,32.02933985330073
2to,3,16,0.039119804400977995,3.9119804400977993
orr,3,6,0.014669926650366748,1.466992665036675
rrq,3,5,0.012224938875305624,1.2224938875305624
rqt,3,26,0.06356968215158924,6.356968215158925
qtr,3,28,0.06845965770171149,6.601466992665037
trn,3,104,0.254278728606357,24.938875305623473
2tor,4,8,0.019559902200488997,1.9559902200488997
torr,4,3,0.007334963325183374,0.7334963325183375
orrq,4,3,0.007334963325183374,0.7334963325183375
rrqt,4,5,0.012224938875305624,1.2224938875305624
rqtr,4,13,0.03178484107579462,3.1784841075794623
qtrn,4,21,0.05134474327628362,5.134474327628362
rt,2,110,0.26894865525672373,23.4718826405868
ort,3,72,0.17603911980440098,16.625916870415647
rtr,3,53,0.1295843520782396,11.7359413202934
tort,4,7,0.017114914425427872,1.7114914425427872
ortr,4,37,0.09046454767726161,8.557457212713937
rtrn,4,41,0.10024449877750612,10.024449877750612
p,1,302,0.7383863080684596,45.965770171149146
tp,2,34,0.08312958435207823,8.06845965770171
po,2,253,0.6185819070904646,45.47677261613692
oo,2,523,1.2787286063569683,66.74816625916871
rtp,3,4,0.009779951100244499,0.9779951100244498
tpo,3,28,0.06845965770171149,6.601466992665037
poo,3,113,0.2762836185819071,25.91687041564792
oor,3,146,0.3569682151589242,34.474327628361856
